EMOTION AND GAZE REPORT #1
==================================================

EMOTIONAL TIMELINE:
21:13:20.863 (3.2s): fear (55.0%)
21:13:20.882 (3.2s): fear (55.0%)
21:13:21.128 (3.4s): neutral (50.0%)
21:13:22.263 (4.6s): sad (70.0%)
21:13:22.295 (4.6s): sad (70.0%)
21:13:22.325 (4.6s): angry (60.0%)
21:13:22.376 (4.7s): angry (60.0%)
21:13:22.406 (4.7s): angry (60.0%)
21:13:22.432 (4.8s): angry (60.0%)
21:13:22.449 (4.8s): angry (60.0%)
21:13:22.489 (4.8s): sad (70.0%)
21:13:22.538 (4.9s): sad (70.0%)
21:13:22.566 (4.9s): sad (70.0%)
21:13:22.597 (4.9s): sad (70.0%)
21:13:22.631 (5.0s): angry (60.0%)
21:13:22.660 (5.0s): angry (60.0%)
21:13:22.693 (5.0s): angry (60.0%)
21:13:22.698 (5.0s): angry (60.0%)
21:13:22.729 (5.0s): angry (60.0%)
21:13:22.773 (5.1s): angry (60.0%)
21:13:22.809 (5.1s): angry (60.0%)
21:13:22.837 (5.2s): angry (60.0%)
21:13:22.854 (5.2s): angry (60.0%)
21:13:23.865 (6.2s): sad (70.0%)
21:13:23.895 (6.2s): sad (70.0%)
21:13:23.923 (6.2s): sad (70.0%)
21:13:23.961 (6.3s): angry (60.0%)
21:13:24.068 (6.4s): angry (60.0%)
21:13:24.121 (6.4s): angry (60.0%)
21:13:24.150 (6.5s): angry (60.0%)
21:13:24.183 (6.5s): sad (70.0%)
21:13:24.199 (6.5s): sad (70.0%)
21:13:24.232 (6.6s): sad (70.0%)
21:13:24.260 (6.6s): sad (70.0%)
21:13:24.297 (6.6s): sad (70.0%)
21:13:24.326 (6.6s): sad (70.0%)
21:13:24.359 (6.7s): angry (60.0%)
21:13:24.410 (6.7s): angry (60.0%)
21:13:25.302 (7.6s): angry (60.0%)
21:13:25.333 (7.7s): angry (60.0%)
21:13:25.366 (7.7s): angry (60.0%)
21:13:25.415 (7.7s): angry (60.0%)
21:13:25.451 (7.8s): angry (60.0%)
21:13:25.466 (7.8s): angry (60.0%)
21:13:25.482 (7.8s): angry (60.0%)
21:13:25.532 (7.9s): angry (60.0%)
21:13:25.560 (7.9s): angry (60.0%)
21:13:25.591 (7.9s): angry (60.0%)
21:13:25.627 (7.9s): angry (60.0%)
21:13:25.672 (8.0s): angry (60.0%)
21:13:25.702 (8.0s): angry (60.0%)
21:13:25.739 (8.1s): angry (60.0%)
21:13:25.767 (8.1s): angry (60.0%)
21:13:25.820 (8.1s): angry (60.0%)
21:13:25.849 (8.2s): sad (70.0%)
21:13:25.879 (8.2s): sad (70.0%)
21:13:25.894 (8.2s): sad (70.0%)
21:13:25.930 (8.2s): sad (70.0%)
21:13:25.960 (8.3s): sad (70.0%)
21:13:25.996 (8.3s): sad (70.0%)
21:13:26.025 (8.3s): sad (70.0%)
21:13:26.072 (8.4s): sad (70.0%)
21:13:26.107 (8.4s): sad (70.0%)
21:13:26.137 (8.5s): sad (70.0%)
21:13:26.172 (8.5s): sad (70.0%)
21:13:26.217 (8.5s): sad (70.0%)
21:13:26.245 (8.6s): sad (70.0%)
21:13:26.260 (8.6s): sad (70.0%)
21:13:26.279 (8.6s): sad (70.0%)
21:13:26.330 (8.6s): sad (70.0%)
21:13:26.359 (8.7s): sad (70.0%)
21:13:26.397 (8.7s): angry (60.0%)
21:13:26.426 (8.7s): angry (60.0%)
21:13:26.469 (8.8s): angry (60.0%)
21:13:26.506 (8.8s): angry (60.0%)
21:13:26.535 (8.9s): angry (60.0%)
21:13:26.566 (8.9s): angry (60.0%)
21:13:26.615 (8.9s): angry (60.0%)
21:13:26.650 (9.0s): angry (60.0%)
21:13:26.663 (9.0s): angry (60.0%)
21:13:26.681 (9.0s): angry (60.0%)
21:13:26.726 (9.0s): angry (60.0%)
21:13:26.762 (9.1s): angry (60.0%)
21:13:26.792 (9.1s): angry (60.0%)
21:13:26.822 (9.1s): angry (60.0%)
21:13:26.873 (9.2s): angry (60.0%)
21:13:26.904 (9.2s): angry (60.0%)
21:13:26.935 (9.3s): angry (60.0%)
21:13:26.971 (9.3s): angry (60.0%)
21:13:27.015 (9.3s): angry (60.0%)
21:13:27.051 (9.4s): angry (60.0%)
21:13:27.082 (9.4s): angry (60.0%)
21:13:27.103 (9.4s): angry (60.0%)
21:13:27.127 (9.4s): angry (60.0%)
21:13:27.163 (9.5s): angry (60.0%)
21:13:27.193 (9.5s): angry (60.0%)
21:13:27.223 (9.5s): angry (60.0%)
21:13:27.274 (9.6s): angry (60.0%)
21:13:27.303 (9.6s): angry (60.0%)
21:13:27.339 (9.7s): angry (60.0%)
21:13:27.369 (9.7s): angry (60.0%)
21:13:27.417 (9.7s): angry (60.0%)
